cruise,cast,niskin,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en627,8,9-10-11,c,152,>5&<200,0.324655349,2.154519162,238,117,2.79,235.21,114.455,2.88791604,0.272289687,1
en627,8,9-10-11,a,152,>20&<200,0.324655349,2.154519162,284,139,2.79,281.21,136.455,3.461888008,0.305757552,1
en627,8,9-10-11,b,152,>20&<200,0.324655349,2.154519162,236,131,2.79,233.21,128.455,2.505268062,1.041490286,1
en627,8,9-10-11,c,152,>20&<200,0.324655349,2.154519162,260,127,2.79,257.21,124.455,3.174902024,0.261412718,1
en627,11|12,11|11-12,a,152,>0&<200,0.324655349,2.154519162,207,129,2.095,204.905,126.905,1.865408895,1.638552555,1
en627,11|12,11|11-12,b,152,>0&<200,0.324655349,2.154519162,200,123,2.095,197.905,120.905,1.841493396,1.496802645,1
en627,11|12,11|11-12,c,152,>0&<200,0.324655349,2.154519162,264,131,2.095,261.905,128.905,3.180761321,0.378421932,1
en627,11|12,11|11-12,a,152,>10&<200,0.324655349,2.154519162,153,84.2,2.095,150.905,82.105,1.645386307,0.621606757,3
en627,11|12,11|11-12,b,152,>10&<200,0.324655349,2.154519162,140,75.1,2.095,137.905,73.005,1.552115863,0.463617999,1
en627,11|12,11|11-12,c,152,>10&<200,0.324655349,2.154519162,183,91.5,2.095,180.905,89.405,2.188268127,0.280284519,1
en627,11|12,11|11-12,a,152,>5&<200,0.324655349,2.154519162,176,95.3,2.095,173.905,93.205,1.929980741,0.64349333,1
en627,11|12,11|11-12,b,152,>5&<200,0.324655349,2.154519162,125,88.3,2.095,122.905,86.205,0.877698801,1.50249896,3
en627,11|12,11|11-12,c,152,>5&<200,0.324655349,2.154519162,191,97.7,2.095,188.905,95.605,2.231316024,0.40842421,1
en627,11|12,11|11-12,a,152,>20&<200,0.324655349,2.154519162,138,90.8,2.095,135.905,88.705,1.128811537,1.320413478,3
en627,11|12,11|11-12,b,152,>20&<200,0.324655349,2.154519162,152,86.8,2.095,149.905,84.705,1.559290512,0.779490896,1
en627,11|12,11|11-12,c,152,>20&<200,0.324655349,2.154519162,147,85.3,2.095,144.905,83.205,1.475586267,0.821778789,1
en627,18|19,11-12|11-12,a,152,>0&<200,0.324655349,2.154519162,116,64.1,2.44,113.56,61.69,1.240496915,0.462819596,1
en627,18|19,11-12|11-12,b,152,>0&<200,0.324655349,2.154519162,115,62,2.44,112.56,59.59,1.266803964,0.378529655,1
en627,18|19,11-12|11-12,c,152,>0&<200,0.324655349,2.154519162,120,63.5,2.44,117.56,61.09,1.350508209,0.336241762,1
en627,18|19,11-12|11-12,a,152,>10&<200,0.324655349,2.154519162,43.3,23.5,2.44,40.86,21.09,0.472809408,0.109504504,1
en627,18|19,11-12|11-12,b,152,>10&<200,0.324655349,2.154519162,52.7,27.9,2.44,50.26,25.49,0.592386902,0.111414977,1
en627,18|19,11-12|11-12,c,152,>10&<200,0.324655349,2.154519162,54.1,28.2,2.44,51.66,25.79,0.61869395,0.093391199,1
en627,18|19,11-12|11-12,a,152,>5&<200,0.324655349,2.154519162,76.5,40.7,2.44,74.06,38.29,0.855457387,0.20176403,1
en627,18|19,11-12|11-12,b,152,>5&<200,0.324655349,2.154519162,54.8,29.9,2.44,52.36,27.49,0.594778452,0.16424523,1
en627,18|19,11-12|11-12,c,152,>5&<200,0.324655349,2.154519162,43.2,33.7,2.44,40.76,31.29,0.226479772,0.637465335,3
en627,18|19,11-12|11-12,a,152,>20&<200,0.324655349,2.154519162,51,28.7,2.44,48.56,26.29,0.532598155,0.193292444,1
en627,18|19,11-12|11-12,b,152,>20&<200,0.324655349,2.154519162,51.8,26.8,2.44,49.36,24.39,0.597170001,0.076259885,1
en627,18|19,11-12|11-12,c,152,>20&<200,0.324655349,2.154519162,48.2,25.6,2.44,45.76,23.19,0.539772805,0.100524,1
en627,23|24,10-11|11-12,a,152,>0&<200,0.324655349,2.154519162,229,124,2.425,226.575,121.555,2.511605669,0.844637459,1
en627,23|24,10-11|11-12,b,152,>0&<200,0.324655349,2.154519162,215,120,2.425,212.575,117.555,2.272450682,0.97334884,1
en627,23|24,10-11|11-12,c,152,>0&<200,0.324655349,2.154519162,179,119,2.425,176.575,116.555,1.435408229,1.782780391,1
