cruise,cast,niskin,niskin_second_cast,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en617,21,17-18,NA',b,120,>0&<200,1.3933,2.129904724,13.3,8.5,0.5085,12.7915,7.9915,0.630339076684671,0.555438195687931,3
en617,21,17-18,NA',c,120,>0&<200,1.3933,2.129904724,13.3,7.72,0.5085,12.7915,7.2115,0.73276917664593,0.337271841900653,1
en617,21,17-18,NA',a,120,>10&<200,1.3933,2.129904724,3.8,2.22,0.5085,3.2915,1.7115,0.207486612742037,0.0464654365185153,1
en617,21,17-18,NA',b,120,>10&<200,1.3933,2.129904724,4.36,2.49,0.5085,3.8515,1.9815,0.24556959862507,0.0484450000367973,1
en617,21,17-18,NA',c,120,>10&<200,1.3933,2.129904724,4.07,2.38,0.5085,3.5615,1.8715,0.221931883249395,0.0557609360267518,1
en617,21,17-18,NA',a,120,>5&<200,1.3933,2.129904724,4.84,2.81,0.5085,4.3315,2.3015,0.266580901181225,0.0749152375118287,1
en617,21,17-18,NA',b,120,>5&<200,1.3933,2.129904724,4.95,2.87,0.5085,4.4415,2.3615,0.273146933230024,0.0772519942188778,1
en617,21,17-18,NA',c,120,>5&<200,1.3933,2.129904724,4.32,2.54,0.5085,3.8115,2.0315,0.233750740937232,0.0676828483545079,1
en617,21,17-18,NA',a,120,>20&<200,1.3933,2.129904724,1.49,1.09,0.5085,0.9815,0.5815,0.0525282563903892,0.0337546046350338,1
en617,21,17-18,NA',b,120,>20&<200,1.3933,2.129904724,1.4,0.985,0.5085,0.8915,0.4765,0.0544980660050288,0.0162049146976609,1
en617,21,17-18,NA',c,120,>20&<200,1.3933,2.129904724,1.6,1.07,0.5085,1.0915,0.5615,0.0695999397172658,0.0137153250562081,1
en617,21,19-21-23-24,NA',a,120,>0&<200,1.3933,2.129904724,6.83,4.21,0.5085,6.3215,3.7015,0.34406007935705,0.205167796972449,1
en617,21,19-21-23-24,NA',b,120,>0&<200,1.3933,2.129904724,7.33,4.42,0.5085,6.8215,3.9115,0.382143065240082,0.198244571734883,1
en617,21,19-21-23-24,NA',c,120,>0&<200,1.3933,2.129904724,6.84,3.91,0.5085,6.3315,3.4015,0.384769478059601,0.119944454490659,1
en617,21,19-21-23-24,NA',a,120,>10&<200,1.3933,2.129904724,2.47,1.5,0.5085,1.9615,0.9915,0.127381021746694,0.0197375624436877,1
en617,21,19-21-23-24,NA',b,120,>10&<200,1.3933,2.129904724,2.13,1.4,0.5085,1.6215,0.8915,0.0958640679124604,0.0364165350181752,1
en617,21,19-21-23-24,NA',c,120,>10&<200,1.3933,2.129904724,2.32,1.47,0.5085,1.8115,0.9615,0.111622544829577,0.0310446449828807,1
