"cruise","cast","date","latitude","longitude","nearest_station","distance_km"
"AR31C","8",2018-11-05 05:13:29,40.137333,-70.776333,"L8",0.13339813045
"AR31C","9",2018-11-05 05:45:58,40.137333,-70.776333,"L8",0.13339813045
"AR31C","10",2018-11-05 06:18:05,40.137333,-70.776333,"L8",0.13339813045
"AR31C","11",2018-11-05 15:24:00,40.226,-70.885167,"L7",0.17658380039
"AR31C","12",2018-11-06 15:07:32,39.939667,-70.8835,"L10",0.04076529336
"AR31C","13",2018-11-06 18:24:20,39.939667,-70.775167,"L12",0.03967090344
"AR31C","14",2018-11-06 19:29:34,40.007,-70.775333,"L12",7.45012438185
"AR31C","15",2018-11-06 20:26:23,40.073167,-70.776333,"u9a",2.80073991465
"AR31C","16",2018-11-06 21:15:58,40.138333,-70.776,"L8",0.20049519566
"AR31C","17",2018-11-06 22:12:36,40.220667,-70.775,"L7",9.21918314031
"AR31C","18",2018-11-06 23:06:08,40.294,-70.774667,"u6a",7.70593605562
"AR31C","19",2018-11-07 00:01:42,40.366333,-70.774667,"L13",0.1508841278
"AR31C","20",2018-11-07 16:39:27,39.941667,-70.779667,"L12",0.43894017408
"AR32","1",2018-11-12 16:26:17,41.196167,-70.883167,"L1",0.06030263396
"AR32","2",2018-11-12 19:24:59,40.861167,-70.881667,"L3",0.27406703632
"AR32","3",2018-11-12 22:23:25,40.5135,-70.882667,"L5",0.05794882524
"AR32","4",2018-11-13 00:12:01,40.363667,-70.877667,"L6",0.47899872508
"AR32","5",2018-11-13 02:12:53,40.228167,-70.877833,"L7",0.49195776833
"AR32","6",2018-11-13 05:11:37,39.941167,-70.892667,"L10",0.80905274361
"AR32","7",2018-11-13 07:38:27,39.774167,-70.882667,"L11",0.1105471584
"AR32","8",2018-11-13 14:03:39,40.020833,-70.882167,"L9.5",0.20562213122
"AR32","9",2018-11-13 15:03:35,40.102,-70.888333,"L9",0.59373669545
"AR32","10",2018-11-13 16:12:33,40.163833,-70.887833,"L7.5",0.41273220494
"AR32","11",2018-11-13 19:42:02,40.696667,-70.880167,"L4",0.26415306853
"AR32","12",2018-11-13 22:31:34,41.029,-70.886,"L2",0.25230672747
"EN627","2",2019-02-01 21:05:30,41.197667,-70.882833,"L1",0.1144048754
"EN627","3",2019-02-01 21:39:15,41.197,-70.881833,"L1",0.12719451235
"EN627","5",2019-02-02 02:18:32,41.028667,-70.7635,"u2a",0.7693569078
"EN627","6",2019-02-02 04:03:51,41.0255,-70.990333,"d2a",0.59477681077
"EN627","7",2019-02-02 06:29:33,41.028167,-70.8815,"L2",0.25365449277
"EN627","8",2019-02-02 10:02:19,40.863333,-70.8845,"L3",0.10097923157
"EN627","9",2019-02-02 15:14:29,40.6935,-70.769333,"u4a",0.49023835853
"EN627","10",2019-02-02 16:57:08,40.6945,-70.9875,"d4a",0.54924533462
"EN627","11",2019-02-02 19:03:33,40.694667,-70.881167,"L4",0.28885995031
"EN627","12",2019-02-02 19:59:59,40.6975,-70.882833,"L4",0.09727894551
"EN627","13",2019-02-02 23:26:40,40.508667,-70.8805,"L5",0.56694692854
"EN627","14",2019-02-03 06:10:40,40.3545,-70.763833,"u6a",1.31302683461
"EN627","15",2019-02-03 08:18:28,40.362,-70.994667,"d6a",0.23367793804
