cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en627,25',9-10-11',b,152,>0&<200,0.324655349,2.154519162,190,136,2.39,187.61,133.695,1.28940410997462,2.40203536149215
en627,25',9-10-11',c,152,>0&<200,0.324655349,2.154519162,245,138,2.39,242.61,135.695,2.55692553868008,1.18973573571825
en627,25',9-10-11',a,152,>10&<200,0.324655349,2.154519162,100,51.8,2.39,97.61,49.495,1.15069421777666,0.215907350271865
en627,25',9-10-11',b,152,>10&<200,0.324655349,2.154519162,121,61.3,2.39,118.61,58.995,1.42572245230709,0.203182679666297
en627,25',9-10-11',c,152,>10&<200,0.324655349,2.154519162,139,68.8,2.39,136.61,66.495,1.6768351881827,0.159151704783998
en627,25',1-2',a,152,>0&<200,0.324655349,2.154519162,142,86.4,2.39,139.61,84.095,1.32766890782233,0.994269850942008
en627,25',1-2',b,152,>0&<200,0.324655349,2.154519162,114,71.7,2.39,111.61,69.395,1.00959277571323,0.906465731504223
en627,25',1-2',c,152,>0&<200,0.324655349,2.154519162,135,81.1,2.39,132.61,78.795,1.28701256010914,0.888588420886595
en627,25',1-2',a,152,>10&<200,0.324655349,2.154519162,91.6,46.6,2.39,89.21,44.295,1.07416462208124,0.14886025834526
en627,25',1-2',b,152,>10&<200,0.324655349,2.154519162,104,52.1,2.39,101.61,49.795,1.2391815627995,0.135703275688764
en627,25',1-2',c,152,>10&<200,0.324655349,2.154519162,85.5,43.5,2.39,83.11,41.195,1.00241812611678,0.135012959765818
en644,1',20-21-22',a,152,>0&<200,0.79591678,2.182214006,25.4,15.2,0.806,24.594,14.394,0.591529943472373,0.395326907677794
en644,1',20-21-22',b,152,>0&<200,0.79591678,2.182214006,24.7,14.6,0.806,23.894,13.794,0.585730630301075,0.359990045311361
en644,1',20-21-22',c,152,>0&<200,0.79591678,2.182214006,25.8,15.7,0.806,24.994,14.894,0.585730630301075,0.435406367130534
